,gender,SeniorCitizen,Partner,Dependents,tenure,PhoneService,MultipleLines,InternetService,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,Contract,PaperlessBilling,PaymentMethod,MonthlyCharges,TotalCharges,target,pred_prob_logreg,P_Rank_logreg,pred_prob_dtree,P_Rank_tree,pred_prob_rf,P_Rank_rf,pred_prob_gbm,P_Rank_GBM,pred_prob_stacking,P_Rank_stacking,Tenure_Rank,Tenure_Segment,MonthlyCharges_Rank,Monthly_Charge_Segment,Predicted_Churn_Rank
8,Female,0,Yes,No,28,Yes,Yes,Fiber optic,No,No,Yes,Yes,Yes,Yes,Month-to-month,Yes,Electronic check,104.8,3046.05,1,0.536175646927014,9,0.6728110599078341,9,0.42688819325520067,8,0.5364302569007954,8,0.43505844093200124,8,5,Low Tenure,10,High Charges,Top 3
13,Male,0,No,No,49,Yes,Yes,Fiber optic,No,Yes,Yes,No,Yes,Yes,Month-to-month,Yes,Bank transfer (automatic),103.7,5036.3,1,0.37824566606598187,7,0.31561461794019935,7,0.2930813689605074,7,0.5399529102557484,9,0.2762781619232876,7,7,High Tenure,10,High Charges,Top 3
14,Male,0,No,No,25,Yes,No,Fiber optic,Yes,No,Yes,Yes,Yes,Yes,Month-to-month,Yes,Electronic check,105.5,2686.05,0,0.3973313773454079,8,0.6728110599078341,9,0.41712991865954197,8,0.5122399927739376,8,0.4174620635042816,8,5,Low Tenure,10,High Charges,Top 3
38,Male,0,No,No,34,Yes,Yes,Fiber optic,No,Yes,Yes,No,Yes,Yes,Month-to-month,Yes,Electronic check,106.35,3549.25,1,0.5419474108343175,9,0.4074074074074074,8,0.44779281915261443,8,0.6103014186930207,9,0.47792793448393023,8,6,Low Tenure,10,High Charges,Top 3
83,Female,0,No,No,42,Yes,No,Fiber optic,No,Yes,Yes,Yes,Yes,Yes,Month-to-month,Yes,Bank transfer (automatic),103.8,4327.5,0,0.30385742750056,7,0.31561461794019935,7,0.27463544772757503,6,0.4193964915065973,8,0.23818983740289928,7,7,High Tenure,10,High Charges,Top 3
171,Female,0,Yes,No,2,Yes,Yes,Fiber optic,No,No,Yes,Yes,Yes,Yes,Month-to-month,Yes,Electronic check,104.4,242.8,1,0.6873088690691042,10,0.6728110599078341,9,0.6819042703702116,10,0.7944854620774616,10,0.7860479764718983,10,1,Low Tenure,10,High Charges,Top 3
208,Female,0,No,No,19,Yes,No,Fiber optic,Yes,No,Yes,Yes,Yes,Yes,Month-to-month,Yes,Electronic check,106.6,1934.45,1,0.4268303854011802,8,0.6728110599078341,9,0.43492857152300113,8,0.633378017729684,9,0.46593164625607053,8,4,Low Tenure,10,High Charges,Top 3
261,Male,1,No,No,13,Yes,Yes,Fiber optic,No,Yes,Yes,No,Yes,Yes,Month-to-month,Yes,Electronic check,106.9,1364.3,1,0.7173501085633538,10,0.6728110599078341,9,0.5958081822024124,9,0.8262271577939639,10,0.7057404540169544,10,4,Low Tenure,10,High Charges,Top 3
267,Female,1,No,No,19,Yes,No,Fiber optic,Yes,Yes,No,Yes,Yes,Yes,Month-to-month,Yes,Mailed check,105.0,2007.25,0,0.3092709880652946,7,0.31561461794019935,7,0.35337801591406026,7,0.3999812957026704,8,0.3176914670019114,7,4,Low Tenure,10,High Charges,Top 3
276,Female,0,Yes,No,52,Yes,Yes,Fiber optic,No,Yes,Yes,No,Yes,Yes,Month-to-month,Yes,Electronic check,105.05,5624.85,1,0.4422527951581676,8,0.4074074074074074,8,0.388518327860151,8,0.6042809489821214,9,0.39995371414250575,8,8,High Tenure,10,High Charges,Top 3
